family,laryngeal_echolocation,echolocation_mode,emission_route,duty_cycle_class,propagate_duty_cycle,call_structure,peak_freq_kHz_low,peak_freq_kHz_high,freq_range_confidence,doppler_shift_compensation,family_documentation_status,evidence_class,primary_references,reference_ids,verified_by,verified_date,notes,curation_note
Pteropodidae,no,none,,not_applicable,no,,10,60,poorly_constrained,no,absence_well_documented_presence_poorly_documented,family_consensus,Holland et al. 2004; Yovel et al. 2011; Boonman et al. 2014,holland-2004,,,"Old World fruit bats orient by sight and smell rather than sonar, with large forward-facing eyes and no laryngeal echolocation. Rousettus is the one genus known to echolocate and has its own entry.",Species-level records should use evidence_class=not_applicable unless the genus is a known click-echolocator. Wing-generated clicks reported in a few genera by Boonman et al. 2014 are a different mechanism and are not asserted as echolocation here.
Rhinolophidae,yes,laryngeal,nasal,high,yes,CF-FM: long constant-frequency component with terminal (and usually initial) FM sweep; second harmonic dominant,25,160,well_constrained,yes,most_genera_documented,family_consensus,Schnitzler & Kalko 2001; Jones & Teeling 2006; Denzinger & Schnitzler 2013,schnitzler-kalko-2001;jones-teeling-2006;denzinger-schnitzler-2013,,,CF frequency is the diagnostic parameter and is unusually stable within populations; strong geographic and sexual variation in some species. Range low end from large SE Asian species; high end from small species such as R. hipposideros and relatives.,
Hipposideridae,yes,laryngeal,nasal,high,yes,CF-FM: shorter CF component than Rhinolophidae with terminal FM; second harmonic dominant,55,190,approximate,partial,most_genera_documented,family_consensus,Schnitzler & Kalko 2001; Jones & Teeling 2006; Denzinger & Schnitzler 2013,schnitzler-kalko-2001;jones-teeling-2006;denzinger-schnitzler-2013,,,Doppler shift compensation reported as partial or absent in some taxa. Low end from large Macronycteris/Hipposideros; high end from small Hipposideros.,
Rhinonycteridae,yes,laryngeal,nasal,high,yes,CF-FM,80,215,approximate,partial,few_species_documented,family_consensus,Foley et al. 2015 (family delimitation); Fenton & Bell literature on Cloeotis,foley-2015;fenton-bell-cloeotis,,,"Contains the highest CF frequency known in bats (Cloeotis percivali, ~212 kHz). Most species in the family have no published call description. The lower bound is set by the larger Malagasy Triaenops, whose males call near 82 kHz.","Split from Hipposideridae; check that your MDD version recognises this family. Lower bound reduced from 90 to 80 kHz: published Triaenops menamena males call at about 82 kHz, below the previous bound."
Megadermatidae,yes,laryngeal,nasal,low,yes,short multiharmonic broadband FM emitted at low intensity,20,100,approximate,no,most_genera_documented,family_consensus,Schnitzler & Kalko 2001; Denzinger & Schnitzler 2013,schnitzler-kalko-2001;denzinger-schnitzler-2013,,,"Passive-listening gleaners; echolocation is often secondary to prey-generated sound, so peak frequency is a weak descriptor of foraging behaviour.",
Craseonycteridae,yes,laryngeal,nasal,low,yes,short steep FM with narrowband component,70,80,well_constrained,no,single_species_documented,family_consensus,Surlykke et al. 1993,surlykke-1993,,,Monotypic family (Craseonycteris thonglongyai); the family row and the species row are the same datum.,
Rhinopomatidae,yes,laryngeal,nasal,low,yes,short multiharmonic FM/QCF,25,45,approximate,no,most_genera_documented,family_consensus,Habersetzer 1981; Denzinger & Schnitzler 2013,habersetzer-1981;denzinger-schnitzler-2013,,,,
Nycteridae,yes,laryngeal,nasal,low,yes,low-intensity multiharmonic steep FM,50,120,poorly_constrained,no,few_species_documented,family_consensus,Schnitzler & Kalko 2001,schnitzler-kalko-2001,,,Gleaners; low source levels mean the family is under-sampled by passive acoustic monitoring and the published range is likely incomplete.,
Emballonuridae,yes,laryngeal,oral,low,yes,narrowband QCF or shallow FM with multiple harmonics; often multi-harmonic search calls,20,105,approximate,no,most_genera_documented,family_consensus,Kalko 1995; Jung et al. 2007; Denzinger & Schnitzler 2013,kalko-1995;jung-2007;denzinger-schnitzler-2013,,,"Neotropical taxa relatively well described; African and Asian taxa much less so. The upper bound is set by small high-frequency taxa: Rhynchonycteris naso calls at about 100 kHz in search phase, well above the 60 kHz this row previously gave.","Upper bound raised from 60 to 105 kHz after a measured R. naso value of 89.7 kHz was flagged against it and the published search-phase figure of ~100 kHz confirmed the range, not the datum, was wrong."
Noctilionidae,yes,laryngeal,oral,low,yes,mixed CF/QCF component followed by FM sweep (trawling),50,75,well_constrained,no,most_genera_documented,family_consensus,Kalko et al. 1998; Schnitzler & Kalko 2001,kalko-1998;schnitzler-kalko-2001,,,Only two species; both reasonably well described.,
